NO_OF_FRAMES	2897
NO_OF_CAMERAS	16
NO_OF_MARKERS	3
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION--
TIME_STAMP--
DATA_INCLUDED	3D
MARKER_NAMES	POS1	POS2	POS3	
-0.000006	-0.000002	0.000002	-0.000002	-0.000080	0.000008	-0.000003	0.000113	-0.000103	
-0.000006	-0.000002	0.000002	-0.000002	-0.000080	0.000008	-0.000003	0.000113	-0.000103	
0.200838	0.042312	-0.085430	0.246426	0.810119	-0.185393	0.508830	-1.283057	1.171008	
0.325488	0.068575	-0.138451	0.399364	1.313004	-0.300459	0.824618	-2.079497	1.897897	
0.342602	0.072185	-0.145729	0.420356	1.382182	-0.316260	0.867954	-2.189018	1.997858	
0.275903	0.058138	-0.117354	0.338504	1.113358	-0.254696	0.698932	-1.763197	1.609228	
0.176994	0.037307	-0.075279	0.217125	0.714680	-0.163404	0.448292	-1.131701	1.032885	
0.088442	0.018656	-0.037612	0.108445	0.357754	-0.081678	0.223887	-0.566351	0.516905	
0.028038	0.005930	-0.011925	0.034307	0.114133	-0.025938	0.070827	-0.180536	0.164769	
-0.004504	-0.000943	0.001901	-0.005621	-0.017713	0.004094	-0.011551	0.028069	-0.025653	
-0.016875	-0.003593	0.007133	-0.020738	-0.069304	0.015534	-0.042638	0.109257	-0.099810	
-0.017749	-0.003858	0.007459	-0.021637	-0.076111	0.016417	-0.044307	0.119106	-0.108881	
-0.013837	-0.003153	0.005744	-0.016511	-0.065331	0.012971	-0.033510	0.100714	-0.092180	
-0.009142	-0.002298	0.003717	-0.010266	-0.052288	0.008908	-0.020480	0.078667	-0.072093	
-0.005297	-0.001568	0.002122	-0.004994	-0.040987	0.005708	-0.009738	0.060108	-0.055044	
-0.002247	-0.000826	0.001007	-0.000894	-0.026053	0.003203	-0.001993	0.038000	-0.034477	
0.001070	0.000345	0.000005	0.002822	0.004794	0.000157	0.004030	-0.004984	0.005561	
0.006084	0.002466	-0.001438	0.007133	0.067027	-0.005181	0.010108	-0.091030	0.085390	
0.013890	0.005917	-0.003838	0.012467	0.172505	-0.014390	0.017302	-0.237648	0.220835	
0.024263	0.010524	-0.007375	0.017906	0.317453	-0.027793	0.024794	-0.440953	0.407762	
0.034873	0.015215	-0.011618	0.020849	0.471849	-0.043320	0.029176	-0.660952	0.608535	
0.042091	0.018366	-0.015685	0.018270	0.589227	-0.056817	0.025451	-0.835232	0.764896	
0.043430	0.018886	-0.018864	0.009082	0.637851	-0.064513	0.009865	-0.921692	0.837914	
0.039238	0.016986	-0.021045	-0.004753	0.621910	-0.065516	-0.017637	-0.926416	0.834243	
0.031835	0.013796	-0.022538	-0.019636	0.570225	-0.061789	-0.053331	-0.886589	0.790378	
0.023381	0.010346	-0.023597	-0.032596	0.509050	-0.055995	-0.091468	-0.833046	0.737530	
0.014892	0.007023	-0.024318	-0.042425	0.450890	-0.049954	-0.127010	-0.777768	0.689296	
0.006805	0.003757	-0.024892	-0.049661	0.402880	-0.044876	-0.158828	-0.729712	0.655407	
-0.000339	0.000370	-0.025614	-0.055847	0.373109	-0.041766	-0.190440	-0.704435	0.649808	
-0.005870	-0.003186	-0.026450	-0.061867	0.364699	-0.040790	-0.225181	-0.710705	0.677670	
-0.009386	-0.006711	-0.026675	-0.066365	0.366799	-0.040444	-0.259826	-0.731375	0.717933	
-0.011115	-0.009905	-0.025281	-0.066549	0.358994	-0.038214	-0.287074	-0.731002	0.732592	
-0.011884	-0.012738	-0.022005	-0.061218	0.329724	-0.032631	-0.307128	-0.691344	0.703041	
-0.012762	-0.015675	-0.017757	-0.052484	0.287472	-0.024421	-0.333894	-0.632697	0.651636	
-0.014490	-0.019315	-0.013860	-0.044012	0.250794	-0.015520	-0.384142	-0.592648	0.619807	
-0.016951	-0.023624	-0.010901	-0.037693	0.228732	-0.007269	-0.457925	-0.584908	0.625456	
-0.019297	-0.027809	-0.008459	-0.032659	0.214583	0.000255	-0.535487	-0.587712	0.650506	
-0.020861	-0.031169	-0.005870	-0.027271	0.197316	0.007585	-0.597340	-0.572416	0.669244	
-0.021851	-0.033724	-0.003005	-0.021122	0.173145	0.014985	-0.640646	-0.531549	0.674747	
-0.023080	-0.035782	-0.000357	-0.015018	0.145276	0.022094	-0.672928	-0.476376	0.674615	
-0.025247	-0.037377	0.001457	-0.009809	0.117260	0.028297	-0.699456	-0.418616	0.674756	
-0.028538	-0.038512	0.002190	-0.005888	0.090389	0.033356	-0.723382	-0.363625	0.676935	
-0.032611	-0.039504	0.002044	-0.003461	0.065394	0.037541	-0.749607	-0.314616	0.683330	
-0.036819	-0.040649	0.001390	-0.002672	0.042946	0.041204	-0.779810	-0.272898	0.693165	
-0.040603	-0.041820	0.000483	-0.003488	0.022890	0.044436	-0.808338	-0.235492	0.699239	
-0.043692	-0.042731	-0.000514	-0.005733	0.004446	0.047244	-0.829066	-0.197675	0.693903	
-0.045972	-0.043475	-0.001332	-0.009270	-0.013271	0.049923	-0.844355	-0.157195	0.676751	
